A,B,C,D,E
1.0,1.3292121726491863,,-0.3162803596214297,-0.990810386640961
2.0,-1.0708162556202396,-1.4387132798348028,0.5644168515196336,0.2957218876223381
3.0,-1.626404233310685,0.2195651987480761,0.6788047990250634,1.8892727314152813
4.0,0.9615383986783164,0.1040111956837392,,0.8502285312282443
5.0,,1.0577374355811098,0.1655616071582727,0.515018378039662
6.0,-1.3369356857829062,0.5628611367075439,1.39285482506846,-0.063327983450606
7.0,0.121668361534558,1.2076025381991031,-0.0020402149102765,1.627795744482153
8.0,0.35449278572224,1.0375276327263334,-0.3856835127679468,0.5198180007843201
9.0,1.686582887451603,-1.325963145762744,1.4289837002109638,-2.089354277469368
10.0,-0.1298199374322977,0.6315229493643316,-0.5865380642949874,
